global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far,episode_success_rate_so_far
480000,2,144488,400000,0.7162990985074627,93389.76315116882,0.0022671431714769126,0.45648773600575826
485000,2,149488,400000,0.7133438746268657,97541.17632615566,0.002273073157040874,0.46056539655356954
490000,2,154488,400000,0.7103886507462687,100608.35522699356,0.0022753216786617846,0.45942079643726375
495000,2,159488,400000,0.7074334268656717,103666.32805883884,0.002279320126130126,0.4582978029695024
500000,2,164488,400000,0.7044782029850747,106892.7611092329,0.002282125385943483,0.45807596906765236
505000,2,169488,400000,0.7015229791044777,109773.77898073196,0.002281668600341914,0.4563803927121684
510000,2,174488,400000,0.6985677552238806,112737.01183116436,0.002281456962901649,0.45501696391728946
515000,2,179488,400000,0.6956125313432836,115848.65658712387,0.002284831862945048,0.4543089231592084
520000,2,184488,400000,0.6926573074626866,118966.00880265236,0.00229039731074279,0.4536121590564156
525000,2,189488,400000,0.6897020835820895,122065.7601184845,0.002295893892126029,0.452862450392637
530000,2,194488,400000,0.6867468597014925,125292.67340362072,0.002299654105206659,0.45255234256098065
535000,2,199488,400000,0.6837916358208955,128561.59188044071,0.002300578913861028,0.4523981392364453
540000,2,204488,400000,0.6808364119402985,131666.88163888454,0.0023026842187954632,0.45175756034583936
545000,2,209488,400000,0.6778811880597015,134809.13060629368,0.0023006576438107944,0.4512143893683648
550000,2,214488,400000,0.6749259641791046,137961.14755439758,0.002299058945381471,0.4507291783223304
555000,2,219488,400000,0.6719707402985075,141138.61177635193,0.002296069950543587,0.4504710963697332
560000,2,224488,400000,0.6690155164179105,144463.58234095573,0.0022927928347391538,0.45065215067175085
565000,2,229488,400000,0.6660602925373135,147819.8446418047,0.0022913423739355627,0.45088632085337793
570000,2,234488,400000,0.6631050686567164,151025.01287400723,0.0022871549743640595,0.45053051755313706
575000,2,239488,400000,0.6601498447761194,154221.7089124918,0.002282505031711624,0.45023967797969
580000,2,244488,400000,0.6571946208955224,157632.09264659882,0.0022822173700584605,0.45061516311639016
585000,2,249488,400000,0.6542393970149254,160973.2820379734,0.0022810783804485977,0.4507671711665491
590000,2,254488,400000,0.6512841731343284,164176.00966787338,0.002279368175557308,0.45049275407877776
595000,2,259488,400000,0.6483289492537314,167487.1968331337,0.002277361410412789,0.45056804168208164
600000,2,264488,400000,0.6453737253731343,170922.02718949318,0.0022793914371427386,0.4509580774931188
605000,2,269488,400000,0.6424185014925373,174218.70842564106,0.002278892076110338,0.4508994834649409
610000,2,274488,400000,0.6394632776119403,177515.51490938663,0.002277165797901919,0.45094503220541515
615000,2,279488,400000,0.6365080537313432,181000.27812099457,0.002276335534583935,0.45139683993588275
620000,2,284488,400000,0.6335528298507462,184247.94925618172,0.0022756229575457993,0.45126683726554373
625000,2,289488,400000,0.6305976059701492,187559.99064326286,0.0022742338805008112,0.4512622284861549
630000,2,294488,400000,0.6276423820895523,190971.27431213856,0.002272127497913427,0.4514479367580343
635000,2,299488,400000,0.6246871582089553,194459.63617515564,0.0022730853163975694,0.4518645154396837
640000,2,304488,400000,0.6217319343283583,197948.5372750759,0.002273545593850563,0.4522444234255537
645000,2,309488,400000,0.6187767104477612,201248.90325915813,0.0022756171423833575,0.4521790828723569
650000,2,314488,400000,0.6158214865671642,204612.37726962566,0.0022762065427632647,0.45224301086209967
655000,2,319488,400000,0.6128662626865672,207995.8768184185,0.0022756231704167437,0.45235501802884615
660000,2,324488,400000,0.6099110388059701,211347.96828103065,0.0022751139471971268,0.4523957742659205
665000,2,329488,400000,0.6069558149253731,214784.84527266026,0.0022738610652240612,0.45260221920069926
670000,2,334488,400000,0.6040005910447761,218272.4943305254,0.0022727247211503736,0.4529340364975724
675000,3,3976,400000,0.6010453671641791,3159.294725060463,0.0023842746759877285,0.5575955734406438
680000,3,8976,400000,0.5980901432835821,7133.664845943451,0.002393543954035757,0.5621657754010695
685000,3,13976,400000,0.5951349194029851,10594.90881896019,0.002401548636890528,0.5370635374928449
690000,3,18976,400000,0.592179695522388,15345.994107842445,0.002405643507026704,0.5708263069139966
695000,3,23976,400000,0.589224471641791,18885.586884975433,0.002401765686873275,0.5568902235568902
700000,3,28976,400000,0.586269247761194,22137.288231611252,0.002394889211506399,0.5404472667034788
705000,3,33976,400000,0.5833140238805969,25319.453424692154,0.0023777100215615836,0.527254532611255
710000,3,38976,400000,0.5803588,28385.591980814934,0.0023978137496042423,0.5152144909688013
715000,3,43976,400000,0.577403576119403,31691.280405282974,0.0024259165445881027,0.5095961433509186
720000,3,48976,400000,0.574448352238806,34872.67813062668,0.002429367717105925,0.5036344331917674
725000,3,53976,400000,0.571493128358209,38243.78461718559,0.002431497066882922,0.5011486586631095
730000,3,58976,400000,0.568537904477612,41650.19341957569,0.0024512779689178383,0.4990335051546392
735000,3,63976,400000,0.5655826805970149,44912.13135290146,0.002458906258815379,0.4959672377141428
740000,3,68976,400000,0.5626274567164179,48096.27292752266,0.0024526062666839358,0.4925336348874971
745000,3,73976,400000,0.5596722328358209,51461.63775622845,0.0024452636217059676,0.49164593922353195
750000,3,78976,400000,0.5567170089552238,54800.79467332363,0.00243324415703025,0.49038948541329014
755000,3,83976,400000,0.5537617850746268,58095.6693212986,0.002420121090946102,0.4890683052300657
760000,3,88976,400000,0.5508065611940298,61430.73690342903,0.0024136996178254753,0.48794056824312176
765000,3,93976,400000,0.5478513373134328,64783.730632543564,0.0024073679674432896,0.4871137311654039
770000,3,98976,400000,0.5448961134328358,70181.76788425446,0.002409114425761675,0.5012023116715163
775000,3,103976,400000,0.5419408895522388,74579.88511288166,0.002405302946993332,0.5069054397168578
780000,3,108976,400000,0.5389856656716419,77988.07834291458,0.002394456464506673,0.5057719130817795
785000,3,113976,400000,0.5360304417910449,81579.25790691376,0.0023892621873670672,0.5058784305467818
790000,3,118976,400000,0.5330752179104479,85281.92866420746,0.0023829033348699113,0.5065391339429801
795000,3,123976,400000,0.5301199940298508,88884.34872329235,0.0023737028757540653,0.5065254565399755
800000,3,128976,400000,0.5271647701492538,92497.27981507778,0.002370096652857799,0.5064353057933259
805000,3,133976,400000,0.5242095462686567,96118.96355330944,0.00236797966845326,0.5065981966919448
810000,3,138976,400000,0.5212543223880597,100441.89218568802,0.0023602821961469095,0.5101240501957173
815000,3,143976,400000,0.5182990985074627,105346.29634487629,0.0023588314999200104,0.516398566427738
820000,3,148976,400000,0.5153438746268657,110023.68351566792,0.002356561034048208,0.5210168080764687
825000,3,153976,400000,0.5123886507462687,113538.75413310528,0.0023549577785777847,0.519918688626799
830000,3,158976,400000,0.5094334268656717,117025.62623977661,0.002354567781460955,0.5186946457326892
835000,3,163976,400000,0.5064782029850747,120803.07018399239,0.0023519603663199615,0.5188686149192565
840000,3,168976,400000,0.5035229791044777,123924.6538746357,0.002354090098578741,0.5163691885238141
845000,3,173976,400000,0.5005677552238806,127426.75903224945,0.0023566063532328113,0.5153871798408975
850000,3,178976,400000,0.49761253134328354,131024.03272378445,0.0023571612104443087,0.5148567405685679
855000,3,183976,400000,0.49465730746268655,134642.1516469717,0.002356022012199234,0.5143931817193547
860000,3,188976,400000,0.49170208358208956,138154.9076691866,0.002354769858774085,0.5135519854373042
865000,3,193976,400000,0.48874685970149256,141720.46109592915,0.002355548545419295,0.5129964531694643
870000,3,198976,400000,0.48579163582089546,145529.74901545048,0.0023555075497009577,0.5132025972981666
875000,3,203976,400000,0.48283641194029847,149152.5549389124,0.002355424211024861,0.5128544534651135
880000,3,208976,400000,0.4798811880597015,152745.44463908672,0.002350548104253714,0.5123507005589159
885000,3,213976,400000,0.4769259641791045,156511.61568629742,0.0023468384627248614,0.5124406475492579
890000,3,218976,400000,0.4739707402985074,160126.82578861713,0.0023440060718783336,0.5121017828437819
895000,3,223976,400000,0.4710155164179105,163827.0630697012,0.0023417491890594297,0.5120370039647105
900000,3,228976,400000,0.4680602925373134,167728.39953386784,0.002337917859361459,0.5125821046747258
905000,3,233976,400000,0.4651050686567164,171473.6241633892,0.0023321058155606183,0.5124970082401614
910000,3,238976,400000,0.4621498447761193,175087.7363754511,0.002325832310462957,0.5121434788430638
915000,3,243976,400000,0.45919462089552243,178768.62801885605,0.002321939555694727,0.5120093779716037
920000,3,248976,400000,0.45623939701492533,182698.28355813026,0.002320301719682251,0.5124911638069533
925000,3,253976,400000,0.45328417313432834,186254.70581650734,0.0023161396895909968,0.5119814470658645
930000,3,258976,400000,0.45032894925373135,189929.62199509144,0.0023099465158601573,0.5118582416903497
935000,3,263976,400000,0.44737372537313436,193977.54826200008,0.002308265079920935,0.5126905476255417
940000,3,268976,400000,0.44441850149253725,197952.13755857944,0.0023051527412820466,0.5132279459877461
945000,3,273976,400000,0.44146327761194026,201777.5443470478,0.002303465716597182,0.5134281834905248
950000,3,278976,400000,0.4385080537313434,205753.08175122738,0.0023003525711021377,0.5139976198669419
955000,3,283976,400000,0.4355528298507463,209577.42031943798,0.002300032046076723,0.5142054258106319
960000,3,288976,400000,0.4325976059701493,213299.72124505043,0.0022972365831568755,0.5141222800509385
965000,3,293976,400000,0.4296423820895522,217250.4819523096,0.002295263441603052,0.5144841755789589
970000,3,298976,400000,0.4266871582089553,221216.56312131882,0.002291731972458155,0.5149209301081024
975000,3,303976,400000,0.4237319343283582,225140.6841480732,0.002289694144782868,0.5152610732426244
