global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
1150000,4,143464,400000,0.32029909850746274,130550.8781554699,0.002395891947698403
1155000,4,148464,400000,0.31734387462686564,136326.17057442665,0.0023943099721909877
1160000,4,153464,400000,0.31438865074626865,140869.4737433195,0.002399655704363459
1165000,4,158464,400000,0.31143342686567166,145360.1753720045,0.002401665686396653
1170000,4,163464,400000,0.30847820298507467,150363.8331581354,0.0024045205566422183
1175000,4,168464,400000,0.30552297910447757,154621.43867599964,0.0024013811033083573
1180000,4,173464,400000,0.3025677552238806,158868.82712459564,0.002407060244753535
1185000,4,178464,400000,0.2996125313432836,163548.44189608097,0.002403149236761123
1190000,4,183464,400000,0.2966573074626866,168276.42418193817,0.002400702356279172
1195000,4,188464,400000,0.2937020835820895,172785.0735782385,0.0024020454701869543
1200000,4,193464,400000,0.2907468597014926,177495.86497938633,0.0024067975022694973
1205000,4,198464,400000,0.2877916358208955,182479.06937611103,0.0024087954529200418
1210000,4,203464,400000,0.2848364119402985,187501.9269295931,0.0024069254099706155
1215000,4,208464,400000,0.2818811880597014,192160.14794564247,0.002404968565166672
1220000,4,213464,400000,0.27892596417910454,196902.2074981928,0.0024048620962261575
1225000,4,218464,400000,0.27597074029850743,201840.41770017147,0.00240275296144291
1230000,4,223464,400000,0.27301551641791044,206762.75205767155,0.002402592720789481
1235000,4,228464,400000,0.27006029253731334,211845.42674422264,0.002400735277858232
1240000,4,233464,400000,0.26710506865671646,216697.00483584404,0.0023982810767350362
1245000,4,238464,400000,0.26414984477611936,221348.65190303326,0.0023937299323093394
1250000,4,243464,400000,0.26119462089552237,226218.46471095085,0.0023897381993876897
1255000,4,248464,400000,0.2582393970149254,231412.20653533936,0.0023847369708477582
1260000,4,253464,400000,0.2552841731343284,236127.30795240402,0.002382155400341871
1265000,4,258464,400000,0.2523289492537313,240972.36053609848,0.002375914807976179
1270000,4,263464,400000,0.2493737253731343,246254.1897252798,0.002369393858920223
1275000,4,268464,400000,0.2464185014925373,251489.62798666954,0.0023610281163881333
1280000,4,273464,400000,0.2434632776119403,256634.24186992645,0.0023550799933488038
1285000,4,278464,400000,0.24050805373134332,261864.91380155087,0.0023497622870350585
1290000,4,283464,400000,0.23755282985074633,267036.03343725204,0.0023439893184906816
1295000,4,288464,400000,0.23459760597014934,271852.832881093,0.002340851629926466
1300000,4,293464,400000,0.23164238208955223,277237.38887631893,0.002337708624187461
1305000,4,298464,400000,0.22868715820895524,282456.21473252773,0.00233442937420484
1310000,4,303464,400000,0.22573193432835825,287777.9339570999,0.0023294511700801255
1315000,4,308464,400000,0.22277671044776126,292949.43341088295,0.0023282269899050005
1320000,4,313464,400000,0.21982148656716416,298147.21795010567,0.0023296369021796543
1325000,4,318464,400000,0.21686626268656717,303573.2851014137,0.0023284716538551314
1330000,4,323464,400000,0.21391103880597018,308799.1305195093,0.002329170685234222
1335000,4,328464,400000,0.2109558149253732,313938.4855533838,0.0023292740300342157
1340000,4,333464,400000,0.20800059104477608,319439.1949454546,0.0023291139881959724
1345000,5,2952,400000,0.2050453671641792,3145.0054070949554,0.00271781128600901
1350000,5,7952,400000,0.2020901432835821,8573.35508799553,0.002568533706152718
1355000,5,12952,400000,0.1991349194029851,13740.062255501747,0.0024759055799932622
1360000,5,17952,400000,0.196179695522388,19371.98122572899,0.002573974934307646
1365000,5,22952,400000,0.19322447164179113,24490.725717663765,0.002566318806050453
1370000,5,27952,400000,0.19026924776119403,28983.86009669304,0.002550725125997625
1375000,5,32952,400000,0.18731402388059704,33543.9614508152,0.002556993848668136
1380000,5,37952,400000,0.18435880000000004,37921.05850505829,0.0025643384490451776
1385000,5,42952,400000,0.18140357611940305,42655.39165198803,0.0025274720066675855
1390000,5,47952,400000,0.17844835223880595,47192.87716317177,0.0025538173915689005
1395000,5,52952,400000,0.17549312835820896,51861.13167822361,0.002536329558133213
1400000,5,57952,400000,0.17253790447761197,56721.265001535416,0.00252177919470047
1405000,5,62952,400000,0.16958268059701498,61166.07056200504,0.002507191949473293
1410000,5,67952,400000,0.16662745671641788,65748.00595259666,0.0025048023523265898
1415000,5,72952,400000,0.16367223283582089,70276.67546927929,0.0025031849618360144
1420000,5,77952,400000,0.1607170089552239,75022.38240480423,0.002492290737757734
1425000,5,82952,400000,0.1577617850746269,79507.27680325508,0.002492208641986398
1430000,5,87952,400000,0.1548065611940298,84220.88346982002,0.0024824558014524736
1435000,5,92952,400000,0.15185133731343292,88873.08509528637,0.00248380231915774
1440000,5,97952,400000,0.14889611343283582,94936.58114326,0.002468141427185595
1445000,5,102952,400000,0.14594088955223883,101132.85064816475,0.0024606509264909955
1450000,5,107952,400000,0.14298566567164173,106124.87670648098,0.0024600645395639045
1455000,5,112952,400000,0.14003044179104485,111430.25042128563,0.0024494842414196742
1460000,5,117952,400000,0.13707521791044774,116654.9538820982,0.0024449179237400554
1465000,5,122952,400000,0.13411999402985075,121749.29754424095,0.0024532066203732977
1470000,5,127952,400000,0.13116477014925376,126882.93734359741,0.002470796540042208
1475000,5,132952,400000,0.12820954626865677,132076.0348931551,0.0024851705422665083
1480000,5,137952,400000,0.12525432238805967,137575.07187592983,0.0024908998381645794
1485000,5,142952,400000,0.12229909850746268,144163.7706668377,0.00249401524680425
1490000,5,147952,400000,0.11934387462686569,150586.33334767818,0.0024983413665322553
1495000,5,152952,400000,0.1163886507462687,155520.62782669067,0.0025092240631806417
1500000,5,157952,400000,0.1134334268656716,160359.78555083275,0.002509982353233341
1505000,5,162952,400000,0.1104782029850746,166063.93021845818,0.002513689587290673
1510000,5,167952,400000,0.10752297910447761,170295.90320909023,0.002517557672279925
1515000,5,172952,400000,0.10456775522388062,174824.45404458046,0.0025214089712081835
1520000,5,177952,400000,0.10161253134328352,179986.1281387806,0.00252602371007655
1525000,5,182952,400000,0.09865730746268664,185460.1647247076,0.002528874067752815
1530000,5,187952,400000,0.09570208358208954,190506.4075448513,0.002531379398978271
1535000,5,192952,400000,0.09274685970149255,195605.2617764473,0.002532795884981468
1540000,5,197952,400000,0.08979163582089544,201122.9139624834,0.0025317112537741994
1545000,5,202952,400000,0.08683641194029856,206780.6361349821,0.0025309801829870005
