global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
920000,3,248976,400000,0.45623939701492533,175759.87998199463,0.0023136362750529873
925000,3,253976,400000,0.45328417313432834,179056.0072091818,0.0023120653116476013
930000,3,258976,400000,0.45032894925373135,182432.3942347765,0.0023093090343781226
935000,3,263976,400000,0.44737372537313436,186238.77761781216,0.0023089411138130333
940000,3,268976,400000,0.44441850149253725,189966.41621816158,0.0023067449863220534
945000,3,273976,400000,0.44146327761194026,193508.96627485752,0.0023078144847072423
950000,3,278976,400000,0.4385080537313434,197226.29168891907,0.002306567876484392
955000,3,283976,400000,0.4355528298507463,200831.4828647375,0.0023044476426621802
960000,3,288976,400000,0.4325976059701493,204267.73890578747,0.002301001935218776
965000,3,293976,400000,0.4296423820895522,207904.5863944292,0.0022981285988297167
970000,3,298976,400000,0.4266871582089553,211561.56042158604,0.002293736126013221
975000,3,303976,400000,0.4237319343283582,215264.11004698277,0.0022938197055783617
980000,3,308976,400000,0.4207767104477612,218863.34236872196,0.0022919421451876366
985000,3,313976,400000,0.4178214865671642,222636.37869477272,0.002290746415192417
990000,3,318976,400000,0.41486626268656723,226245.68185186386,0.0022953028970585988
995000,3,323976,400000,0.41191103880597013,229734.65068399906,0.002297251920882767
1000000,3,328976,400000,0.40895581492537314,233169.81064724922,0.0022987637401926447
1005000,3,333976,400000,0.40600059104477615,237009.5813845396,0.002297553273523885
1010000,4,3464,400000,0.40304536716417916,3106.75934445858,0.0022278119963409612
1015000,4,8464,400000,0.40009014328358206,7432.606960654259,0.002387849087933915
1020000,4,13464,400000,0.3971349194029852,11561.564994215965,0.0024348244924096594
1025000,4,18464,400000,0.3941796955223881,16319.805792093277,0.0024706257867572975
1030000,4,23464,400000,0.3912244716417911,20255.35116326809,0.002467893744739622
1035000,4,28464,400000,0.388269247761194,23837.61049091816,0.002427484046639692
1040000,4,33464,400000,0.3853140238805971,27064.745740771294,0.0024214197559923514
1045000,4,38464,400000,0.3823588,30546.85171997547,0.002435372862179767
1050000,4,43464,400000,0.379403576119403,34176.24894416332,0.0024155600692086967
1055000,4,48464,400000,0.3764483522388059,37652.29012858868,0.002425884015200873
1060000,4,53464,400000,0.373493128358209,41280.31420087814,0.002420003695027878
1065000,4,58464,400000,0.3705379044776119,44925.50397634506,0.002405756013712431
1070000,4,63464,400000,0.36758268059701493,48335.745901465416,0.002394983743607884
1075000,4,68464,400000,0.36462745671641794,51934.06026303768,0.0023757176276673767
1080000,4,73464,400000,0.36167223283582095,55650.72178924084,0.002350734645839148
1085000,4,78464,400000,0.35871700895522385,59370.6323261261,0.0023253328947951783
1090000,4,83464,400000,0.35576178507462686,63011.03419351578,0.0023047691129550623
1095000,4,88464,400000,0.35280656119402987,66594.57520854473,0.002280456608497222
1100000,4,93464,400000,0.3498513373134329,70270.88109505177,0.0022529168936432347
1105000,4,98464,400000,0.3468961134328358,75583.50871515274,0.002238602748720764
1110000,4,103464,400000,0.3439408895522389,80495.74520993233,0.0022196498758408406
1115000,4,108464,400000,0.3409856656716418,84203.2482123375,0.0022038403846645345
1120000,4,113464,400000,0.3380304417910448,88182.8241622448,0.0021869810139817873
1125000,4,118464,400000,0.3350752179104477,92199.94802057743,0.002178095504482944
1130000,4,123464,400000,0.3321199940298508,96065.01625847816,0.0021768779629757575
1135000,4,128464,400000,0.3291647701492537,99919.960257411,0.002173985465764814
1140000,4,133464,400000,0.3262095462686567,103944.10562348366,0.0021729155364860245
1145000,4,138464,400000,0.3232543223880596,108345.78671014309,0.0021732688220475536
1150000,4,143464,400000,0.32029909850746274,113715.72901403904,0.0021751997645480903
1155000,4,148464,400000,0.31734387462686564,118686.80610775948,0.0021826543783042113
1160000,4,153464,400000,0.31438865074626865,122143.72490477562,0.0021940980927185774
1165000,4,158464,400000,0.31143342686567166,125766.72131705284,0.0022012066575721563
1170000,4,163464,400000,0.30847820298507467,129834.92720627785,0.0022107561952998353
1175000,4,168464,400000,0.30552297910447757,133205.14402782917,0.0022238424565798644
1180000,4,173464,400000,0.3025677552238806,136602.62251389027,0.0022376698409711125
1185000,4,178464,400000,0.2996125313432836,140333.84555768967,0.0022491493704616455
1190000,4,183464,400000,0.2966573074626866,144115.47518634796,0.002257504148094442
1195000,4,188464,400000,0.2937020835820895,147816.96232235432,0.002267573229715108
1200000,4,193464,400000,0.2907468597014926,151544.35297465324,0.00227276085110382
1205000,4,198464,400000,0.2877916358208955,155602.47872197628,0.0022815890389835253
1210000,4,203464,400000,0.2848364119402985,159557.66105139256,0.0022897745367484188
1215000,4,208464,400000,0.2818811880597014,163332.72447633743,0.0022946228314931418
1220000,4,213464,400000,0.27892596417910454,167237.0473101139,0.0023018694343430817
1225000,4,218464,400000,0.27597074029850743,171062.19129621983,0.002306603929463641
1230000,4,223464,400000,0.27301551641791044,174978.5323342085,0.0023132997314083883
1235000,4,228464,400000,0.27006029253731334,179058.9742783308,0.0023208482418748053
1240000,4,233464,400000,0.26710506865671646,182954.94743084908,0.0023214848413582183
1245000,4,238464,400000,0.26414984477611936,186703.27077019215,0.002320957873281692
1250000,4,243464,400000,0.26119462089552237,190665.26417708397,0.0023224524101522893
1255000,4,248464,400000,0.2582393970149254,194692.35777497292,0.0023218056889578453
1260000,4,253464,400000,0.2552841731343284,198448.28635442257,0.0023212320980873246
1265000,4,258464,400000,0.2523289492537313,202191.20058918,0.0023244105108439473
1270000,4,263464,400000,0.2493737253731343,206376.42926216125,0.0023263704022902154
1275000,4,268464,400000,0.2464185014925373,210472.53753638268,0.002326745653590316
1280000,4,273464,400000,0.2434632776119403,214485.2518759966,0.002325669417615759
1285000,4,278464,400000,0.24050805373134332,218566.3447393179,0.0023254184430957967
1290000,4,283464,400000,0.23755282985074633,222640.7824242115,0.002327620591794799
1295000,4,288464,400000,0.23459760597014934,226435.91740322113,0.0023286875898421394
1300000,4,293464,400000,0.23164238208955223,230596.2307600975,0.0023297387447727873
1305000,4,298464,400000,0.22868715820895524,234141.13366293907,0.00233197928367848
1310000,4,303464,400000,0.22573193432835825,237906.40970301628,0.002334326451659568
1315000,4,308464,400000,0.22277671044776126,241831.52682495117,0.0023307471174430962
1320000,4,313464,400000,0.21982148656716416,245799.97444736958,0.002325802897803879
1325000,4,318464,400000,0.21686626268656717,250041.9259109497,0.0023195164241610437
1330000,4,323464,400000,0.21391103880597018,254068.42339801788,0.0023130399567679438
1335000,4,328464,400000,0.2109558149253732,257897.5113130808,0.0023101349100268296
1340000,4,333464,400000,0.20800059104477608,262222.42677497864,0.002305424828918537
1345000,5,2952,400000,0.2050453671641792,2872.1150292158127,0.002030946970137239
1350000,5,7952,400000,0.2020901432835821,7889.801069617271,0.002022118873696168
1355000,5,12952,400000,0.1991349194029851,12453.36443221569,0.0021038493297297657
1360000,5,17952,400000,0.196179695522388,17646.930194616318,0.0021445814559204576
1365000,5,22952,400000,0.19322447164179113,22273.406531333923,0.002149378980469806
1370000,5,27952,400000,0.19026924776119403,26240.937190055847,0.002113652745221956
1375000,5,32952,400000,0.18731402388059704,30036.25143301487,0.0021115658693997433
1380000,5,37952,400000,0.18435880000000004,33851.266577243805,0.002126364816561549
1385000,5,42952,400000,0.18140357611940305,37816.35462188721,0.0021205555293741783
1390000,5,47952,400000,0.17844835223880595,41689.8781080246,0.002131967777040305
1395000,5,52952,400000,0.17549312835820896,45644.504799366,0.002155289025728779
1400000,5,57952,400000,0.17253790447761197,49774.89156138897,0.002178089182711539
1405000,5,62952,400000,0.16958268059701498,53569.689027905464,0.002201290176422644
1410000,5,67952,400000,0.16662745671641788,57471.556379795074,0.0022147654646386774
1415000,5,72952,400000,0.16367223283582089,61487.468381643295,0.0022054528309645638
1420000,5,77952,400000,0.1607170089552239,65627.6851092577,0.002206594561394222
1425000,5,82952,400000,0.1577617850746269,69592.26386201382,0.0021917041214524055
1430000,5,87952,400000,0.1548065611940298,73658.68967676163,0.002169943719875907
1435000,5,92952,400000,0.15185133731343292,77865.78668260574,0.002148454979531379
1440000,5,97952,400000,0.14889611343283582,83393.27291715145,0.0021348913059867037
1445000,5,102952,400000,0.14594088955223883,88892.02458667755,0.002124834622154521
1450000,5,107952,400000,0.14298566567164173,93144.32779347897,0.0021211035228039447
1455000,5,112952,400000,0.14003044179104485,97557.10530936718,0.002119394386097318
1460000,5,117952,400000,0.13707521791044774,102038.08012008667,0.002113485847117882
1465000,5,122952,400000,0.13411999402985075,106355.5117944479,0.0021122234908698767
1470000,5,127952,400000,0.13116477014925376,110791.76477205753,0.0021136643464690764
1475000,5,132952,400000,0.12820954626865677,115030.88320076466,0.0021126129417902823
1480000,5,137952,400000,0.12525432238805967,119574.0696837902,0.0021210661353561664
1485000,5,142952,400000,0.12229909850746268,125084.39535570145,0.002132201725929996
1490000,5,147952,400000,0.11934387462686569,130483.01517736912,0.0021450803032340526
